"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"PR","2026-06-27","21","19","8","0.64","0.58","0.24","Very Low","Very Low","Very Low","20","20","20","36.36","36.36","36.36"
"ME","2026-06-06","0","0","3","0.00","0.00","0.22","Very Low","Very Low","Very Low","34","34","34","91.89","91.89","91.89"
"TX","2026-06-06","88","88","67","0.29","0.29","0.22","Very Low","Very Low","Very Low","360","360","360","67.54","67.54","67.54"
"CA","2026-06-06","149","133","39","0.38","0.34","0.10","Very Low","Very Low","Very Low","316","316","316","79.2","79.2","79.2"
"GA","2026-06-06","34","16","21","0.31","0.15","0.19","Very Low","Very Low","Very Low","123","123","123","76.88","76.88","76.88"
"NY","2026-06-06","55","30","34","0.28","0.15","0.17","Very Low","Very Low","Very Low","174","174","174","85.29","85.29","85.29"
"OH","2026-06-06","24","19","24","0.20","0.16","0.20","Very Low","Very Low","Very Low","194","194","194","90.23","90.23","90.23"
"FL","2026-06-06","117","110","70","0.52","0.49","0.31","Very Low","Very Low","Very Low","217","217","217","78.06","78.06","78.06"
"WV","2026-06-06","2","5","12","0.11","0.28","0.68","Very Low","Very Low","Very Low","59","59","59","98.33","98.33","98.33"
"AR","2026-06-06","2","2","10","0.07","0.07","0.33","Very Low","Very Low","Very Low","61","61","61","66.3","66.3","66.3"
"VT","2026-06-06","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","12","12","12","80","80","80"
"DE","2026-06-06","1","0","4","0.10","0.00","0.39","Very Low","Very Low","Very Low","11","11","11","100","100","100"
