"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"LA","2026-05-16","37","20","16","0.81","0.44","0.35","Very Low","Very Low","Very Low","125","125","125","76.22","76.22","76.22"
"MS","2026-05-16","8","12","13","0.27","0.41","0.44","Very Low","Very Low","Very Low","80","80","80","76.19","76.19","76.19"
"NJ","2026-05-16","51","37","26","0.55","0.40","0.28","Very Low","Very Low","Very Low","82","82","82","96.47","96.47","96.47"
"PR","2026-05-16","31","72","12","0.94","2.19","0.37","Very Low","Very Low","Very Low","26","26","26","47.27","47.27","47.27"
"AL","2026-05-16","32","20","6","0.63","0.39","0.12","Very Low","Very Low","Very Low","90","90","90","90","90","90"
"TN","2026-05-16","34","36","24","0.48","0.51","0.34","Very Low","Very Low","Very Low","126","126","126","94.74","94.74","94.74"
"AZ","2026-08-29","81","15","1","1.09","0.20","0.01","Very Low","Very Low","Very Low","85","85","85","85","85","85"
"WY","2026-08-29","3","0","0","0.52","0.00","0.00","Very Low","Very Low","Very Low","18","18","18","58.06","58.06","58.06"
"FL","2026-08-29","471","104","93","2.09","0.46","0.41","Very Low","Very Low","Very Low","228","228","228","81.72","81.72","81.72"
"ME","2026-08-29","0","1","0","0.00","0.07","0.00","Very Low","Very Low","Very Low","29","29","29","78.38","78.38","78.38"
"WV","2026-08-29","4","1","1","0.23","0.06","0.06","Very Low","Very Low","Very Low","60","60","60","100","100","100"
"IN","2026-08-29","13","2","3","0.19","0.03","0.04","Very Low","Very Low","Very Low","124","124","124","86.71","86.71","86.71"
"OR","2026-08-29","20","1","0","0.47","0.02","0.00","Very Low","Very Low","Very Low","37","37","37","59.68","59.68","59.68"
"VT","2026-08-29","1","1","0","0.15","0.15","0.00","Very Low","Very Low","Very Low","14","14","14","93.33","93.33","93.33"
"HI","2026-08-29","31","5","11","2.22","0.36","0.79","Very Low","Very Low","Low","21","21","21","75","75","75"
"KY","2026-08-29","18","7","2","0.40","0.16","0.04","Very Low","Very Low","Very Low","86","86","86","76.79","76.79","76.79"
"MD","2026-08-29","9","7","0","0.15","0.11","0.00","Very Low","Very Low","Very Low","35","35","35","68.63","68.63","68.63"
"NE","2026-08-29","8","0","1","0.41","0.00","0.05","Very Low","Very Low","Very Low","78","78","78","79.59","79.59","79.59"
"WA","2026-08-29","59","22","2","0.76","0.28","0.03","Very Low","Very Low","Very Low","93","93","93","95.88","95.88","95.88"
"HI","2026-06-13","6","5","11","0.43","0.36","0.79","Very Low","Very Low","Low","22","22","22","78.57","78.57","78.57"
"KY","2026-06-13","6","1","13","0.13","0.02","0.29","Very Low","Very Low","Very Low","81","81","81","72.32","72.32","72.32"
"MD","2026-06-13","4","12","6","0.07","0.20","0.10","Very Low","Very Low","Very Low","37","37","37","72.55","72.55","72.55"
"NE","2026-06-13","1","0","3","0.05","0.00","0.15","Very Low","Very Low","Very Low","74","74","74","75.51","75.51","75.51"
"WA","2026-06-13","5","11","6","0.06","0.14","0.08","Very Low","Very Low","Very Low","94","94","94","96.91","96.91","96.91"
"DE","2026-06-13","2","1","2","0.19","0.10","0.19","Very Low","Very Low","Very Low","8","8","8","72.73","72.73","72.73"
"VA","2026-06-13","12","20","15","0.14","0.23","0.17","Very Low","Very Low","Very Low","82","82","82","80.39","80.39","80.39"
"WY","2026-06-13","1","0","1","0.17","0.00","0.17","Very Low","Very Low","Very Low","21","21","21","70","70","70"
"IA","2026-06-13","4","2","3","0.12","0.06","0.09","Very Low","Very Low","Very Low","95","95","95","77.24","77.24","77.24"
"MS","2026-06-13","9","4","4","0.31","0.14","0.14","Very Low","Very Low","Very Low","85","85","85","80.95","80.95","80.95"
"NJ","2026-06-13","40","21","15","0.43","0.23","0.16","Very Low","Very Low","Very Low","82","82","82","96.47","96.47","96.47"
"ME","2026-05-30","0","3","3","0.00","0.22","0.22","Very Low","Very Low","Very Low","30","30","30","81.08","81.08","81.08"
"TX","2026-05-30","89","84","69","0.29","0.28","0.23","Very Low","Very Low","Very Low","396","396","396","74.3","74.3","74.3"
"CA","2026-05-30","104","125","46","0.27","0.32","0.12","Very Low","Very Low","Very Low","302","302","302","75.69","75.69","75.69"
"GA","2026-05-30","27","9","14","0.25","0.08","0.13","Very Low","Very Low","Very Low","120","120","120","75","75","75"
"NY","2026-05-30","66","18","45","0.34","0.09","0.23","Very Low","Very Low","Very Low","172","172","172","84.31","84.31","84.31"
"OH","2026-05-30","22","14","28","0.19","0.12","0.24","Very Low","Very Low","Very Low","193","193","193","89.77","89.77","89.77"
"FL","2026-05-30","111","132","82","0.49","0.59","0.36","Very Low","Very Low","Very Low","232","232","232","83.45","83.45","83.45"
"WV","2026-05-30","5","4","15","0.28","0.23","0.85","Very Low","Very Low","Low","60","60","60","100","100","100"
"AR","2026-05-30","3","6","12","0.10","0.20","0.39","Very Low","Very Low","Very Low","63","63","63","67.74","67.74","67.74"
"VT","2026-05-30","1","2","0","0.15","0.31","0.00","Very Low","Very Low","Very Low","13","13","13","86.67","86.67","86.67"
"MP","2026-05-30","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","100","100","100"
"UT","2026-05-30","8","4","5","0.23","0.12","0.15","Very Low","Very Low","Very Low","50","50","50","89.29","89.29","89.29"
"AZ","2026-05-23","31","54","24","0.42","0.73","0.32","Very Low","Very Low","Very Low","88","88","88","88.89","88.89","88.89"
"MI","2026-05-23","26","17","60","0.26","0.17","0.60","Very Low","Very Low","Very Low","134","134","134","85.9","85.9","85.9"
"VI","2026-05-23","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","2","2","2","100","100","100"
"CO","2026-05-23","6","8","15","0.10","0.14","0.26","Very Low","Very Low","Very Low","82","82","82","82","82","82"
"IL","2026-05-23","22","21","31","0.18","0.17","0.25","Very Low","Very Low","Very Low","154","154","154","77.78","77.78","77.78"
"NH","2026-05-23","6","2","6","0.43","0.14","0.43","Very Low","Very Low","Very Low","25","25","25","96.15","96.15","96.15"
"RI","2026-05-23","3","4","6","0.27","0.37","0.55","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"LA","2026-05-23","31","25","15","0.68","0.55","0.33","Very Low","Very Low","Very Low","122","122","122","74.39","74.39","74.39"
"IA","2026-05-23","6","3","15","0.19","0.09","0.47","Very Low","Very Low","Very Low","95","95","95","77.24","77.24","77.24"
"PR","2026-05-23","34","78","11","1.03","2.37","0.33","Very Low","Very Low","Very Low","28","28","28","50.91","50.91","50.91"
"WI","2026-05-23","15","3","37","0.25","0.05","0.63","Very Low","Very Low","Very Low","137","137","137","92.57","92.57","92.57"
"ME","2026-05-23","1","3","7","0.07","0.22","0.50","Very Low","Very Low","Very Low","30","30","30","81.08","81.08","81.08"
"TX","2026-05-23","93","91","63","0.31","0.30","0.21","Very Low","Very Low","Very Low","358","358","358","67.17","67.17","67.17"
"CA","2026-05-23","142","132","38","0.37","0.34","0.10","Very Low","Very Low","Very Low","290","290","290","72.68","72.68","72.68"
"GA","2026-05-23","42","29","20","0.38","0.26","0.18","Very Low","Very Low","Very Low","120","120","120","75","75","75"
"NY","2026-05-23","85","49","56","0.43","0.25","0.29","Very Low","Very Low","Very Low","171","171","171","83.82","83.82","83.82"
"OH","2026-05-23","18","14","43","0.15","0.12","0.37","Very Low","Very Low","Very Low","192","192","192","89.3","89.3","89.3"
"FL","2026-05-23","123","130","90","0.55","0.58","0.40","Very Low","Very Low","Very Low","227","227","227","81.65","81.65","81.65"
"WV","2026-05-23","1","2","22","0.06","0.11","1.24","Very Low","Very Low","Low","60","60","60","100","100","100"
"AR","2026-05-23","5","10","6","0.16","0.33","0.20","Very Low","Very Low","Very Low","55","55","55","59.14","59.14","59.14"
"VT","2026-05-23","0","0","2","0.00","0.00","0.31","Very Low","Very Low","Very Low","14","14","14","93.33","93.33","93.33"
"AZ","2026-06-06","27","45","14","0.36","0.61","0.19","Very Low","Very Low","Very Low","90","90","90","90.91","90.91","90.91"
"MI","2026-06-06","11","7","25","0.11","0.07","0.25","Very Low","Very Low","Very Low","133","133","133","85.26","85.26","85.26"
"VI","2026-06-06","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"CO","2026-06-06","6","5","4","0.10","0.09","0.07","Very Low","Very Low","Very Low","84","84","84","84","84","84"
"IL","2026-06-06","6","18","17","0.05","0.14","0.14","Very Low","Very Low","Very Low","147","147","147","74.24","74.24","74.24"
"NH","2026-06-06","5","4","5","0.36","0.29","0.36","Very Low","Very Low","Very Low","25","25","25","96.15","96.15","96.15"
"RI","2026-06-06","0","0","2","0.00","0.00","0.18","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"LA","2026-06-06","28","24","7","0.61","0.53","0.15","Very Low","Very Low","Very Low","125","125","125","76.22","76.22","76.22"
"PR","2026-06-06","26","70","10","0.79","2.13","0.30","Very Low","Very Low","Very Low","24","24","24","43.64","43.64","43.64"
"IA","2026-06-06","3","5","8","0.09","0.16","0.25","Very Low","Very Low","Very Low","92","92","92","74.8","74.8","74.8"
"AZ","2026-05-30","33","51","21","0.45","0.69","0.28","Very Low","Very Low","Very Low","89","89","89","89.9","89.9","89.9"
"MI","2026-05-30","22","12","17","0.22","0.12","0.17","Very Low","Very Low","Very Low","127","127","127","81.41","81.41","81.41"
"VI","2026-05-30","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low","1","1","1","50","50","50"
"CO","2026-05-30","7","9","15","0.12","0.15","0.26","Very Low","Very Low","Very Low","83","83","83","83","83","83"
"IL","2026-05-30","10","56","13","0.08","0.45","0.10","Very Low","Very Low","Very Low","152","152","152","76.77","76.77","76.77"
"NH","2026-05-30","11","0","7","0.78","0.00","0.50","Very Low","Very Low","Very Low","26","26","26","100","100","100"
"RI","2026-05-30","2","3","1","0.18","0.27","0.09","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"LA","2026-05-30","26","29","8","0.57","0.64","0.18","Very Low","Very Low","Very Low","131","131","131","79.88","79.88","79.88"
"PR","2026-05-30","38","45","24","1.16","1.37","0.73","Very Low","Very Low","Very Low","28","28","28","50.91","50.91","50.91"
"IA","2026-05-30","2","0","0","0.06","0.00","0.00","Very Low","Very Low","Very Low","103","103","103","83.74","83.74","83.74"
"DE","2026-05-16","5","4","4","0.49","0.39","0.39","Very Low","Very Low","Very Low","11","11","11","100","100","100"
"VA","2026-05-16","38","18","20","0.44","0.21","0.23","Very Low","Very Low","Very Low","76","76","76","74.51","74.51","74.51"
"VT","2026-05-16","0","0","9","0.00","0.00","1.39","Very Low","Very Low","Low","15","15","15","100","100","100"
"DC","2026-05-16","3","0","0","0.44","0.00","0.00","Very Low","Very Low","Very Low","7","7","7","63.64","63.64","63.64"
"IA","2026-05-16","7","4","20","0.22","0.12","0.62","Very Low","Very Low","Very Low","98","98","98","79.67","79.67","79.67"
"AK","2026-05-16","1","0","0","0.14","0.00","0.00","Very Low","Very Low","Very Low","16","16","16","66.67","66.67","66.67"
"MA","2026-05-16","18","17","30","0.26","0.24","0.43","Very Low","Very Low","Very Low","86","86","86","95.56","95.56","95.56"
"NC","2026-05-16","52","15","45","0.48","0.14","0.42","Very Low","Very Low","Very Low","119","119","119","88.15","88.15","88.15"
"SD","2026-05-16","1","3","9","0.11","0.33","0.98","Very Low","Very Low","Low","54","54","54","88.52","88.52","88.52"
"VT","2026-05-09","0","1","6","0.00","0.15","0.93","Very Low","Very Low","Low","13","13","13","86.67","86.67","86.67"
"DC","2026-05-09","5","0","1","0.74","0.00","0.15","Very Low","Very Low","Very Low","9","9","9","81.82","81.82","81.82"
"IA","2026-05-09","8","1","20","0.25","0.03","0.62","Very Low","Very Low","Very Low","98","98","98","79.67","79.67","79.67"
"DE","2026-05-09","6","4","7","0.58","0.39","0.68","Very Low","Very Low","Very Low","11","11","11","100","100","100"
"VA","2026-05-09","18","14","20","0.21","0.16","0.23","Very Low","Very Low","Very Low","78","78","78","76.47","76.47","76.47"
"AK","2026-05-09","2","4","2","0.28","0.56","0.28","Very Low","Very Low","Very Low","16","16","16","66.67","66.67","66.67"
"MA","2026-05-09","42","19","38","0.60","0.27","0.54","Very Low","Very Low","Very Low","87","87","87","96.67","96.67","96.67"
"NC","2026-05-09","100","21","52","0.93","0.20","0.48","Very Low","Very Low","Very Low","125","125","125","92.59","92.59","92.59"
"SD","2026-05-09","3","7","7","0.33","0.76","0.76","Very Low","Very Low","Very Low","52","52","52","85.25","85.25","85.25"
"KS","2026-05-02","3","3","13","0.10","0.10","0.45","Very Low","Very Low","Very Low",,,,,,
"WI","2026-05-02","27","13","70","0.46","0.22","1.18","Very Low","Very Low","Low",,,,,,
"HI","2026-05-02","2","20","11","0.14","1.43","0.79","Very Low","Low","Low",,,,,,
"KY","2026-05-02","24","13","40","0.53","0.29","0.89","Very Low","Very Low","Low",,,,,,
"MD","2026-05-02","19","12","9","0.31","0.20","0.15","Very Low","Very Low","Very Low",,,,,,
"NE","2026-05-02","4","4","23","0.20","0.20","1.17","Very Low","Very Low","Low",,,,,,
"WA","2026-05-02","27","28","33","0.35","0.36","0.43","Very Low","Very Low","Very Low",,,,,,
"IL","2026-05-02","30","25","75","0.24","0.20","0.60","Very Low","Very Low","Very Low",,,,,,
"SC","2026-05-02","28","15","18","0.52","0.28","0.34","Very Low","Very Low","Very Low",,,,,,
"AS","2026-05-02",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"IN","2026-05-02","27","19","49","0.39","0.28","0.71","Very Low","Very Low","Very Low",,,,,,
"ND","2026-05-02","5","4","13","0.64","0.51","1.67","Very Low","Very Low","Low",,,,,,
"OR","2026-05-02","8","10","12","0.19","0.24","0.28","Very Low","Very Low","Very Low",,,,,,
"PA","2026-05-02","123","192","176","0.95","1.48","1.36","Very Low","Low","Low",,,,,,
"CT","2026-05-02","13","9","26","0.36","0.25","0.72","Very Low","Very Low","Very Low",,,,,,
"GU","2026-05-02","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low",,,,,,
"ME","2026-05-02","1","5","9","0.07","0.36","0.65","Very Low","Very Low","Very Low",,,,,,
"TX","2026-05-02","89","120","96","0.29","0.39","0.32","Very Low","Very Low","Very Low",,,,,,
"AZ","2026-05-02","29","71","30","0.39","0.96","0.40","Very Low","Very Low","Very Low",,,,,,
"WY","2026-05-02","1","3","5","0.17","0.52","0.86","Very Low","Very Low","Low",,,,,,
"CA","2026-04-18","139","186","168","0.36","0.48","0.43","Very Low","Very Low","Very Low",,,,,,
"GA","2026-04-18","43","35","41","0.39","0.32","0.37","Very Low","Very Low","Very Low",,,,,,
"NV","2026-04-18","6","20","6","0.19","0.63","0.19","Very Low","Very Low","Very Low",,,,,,
"NY","2026-04-18","154","116","210","0.79","0.59","1.07","Very Low","Very Low","Low",,,,,,
"OH","2026-04-18","14","27","63","0.12","0.23","0.53","Very Low","Very Low","Very Low",,,,,,
"MI","2026-04-18","53","50","152","0.53","0.50","1.51","Very Low","Very Low","Low",,,,,,
"VI","2026-04-18","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low",,,,,,
"DC","2026-04-18","5","4","0","0.74","0.59","0.00","Very Low","Very Low","Very Low",,,,,,
"MN","2026-04-18","19","23","44","0.33","0.40","0.77","Very Low","Very Low","Low",,,,,,
"MT","2026-04-18","5","5","19","0.44","0.44","1.68","Very Low","Very Low","Low",,,,,,
"PR","2026-04-18","17","84","18","0.52","2.56","0.55","Very Low","Low","Very Low",,,,,,
"DE","2026-04-18","5","2","5","0.49","0.19","0.49","Very Low","Very Low","Very Low",,,,,,
"MS","2026-04-18","21","14","12","0.72","0.48","0.41","Very Low","Very Low","Very Low",,,,,,
"NJ","2026-04-18","49","29","39","0.53","0.31","0.42","Very Low","Very Low","Very Low",,,,,,
"VA","2026-04-18","31","13","12","0.36","0.15","0.14","Very Low","Very Low","Very Low",,,,,,
"CT","2026-04-18","16","34","30","0.44","0.94","0.83","Very Low","Very Low","Low",,,,,,
"GU","2026-04-18",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"ID","2026-04-18","8","7","23","0.41","0.36","1.17","Very Low","Very Low","Low",,,,,,
"MO","2026-04-18","22","22","40","0.36","0.36","0.65","Very Low","Very Low","Very Low",,,,,,
"OK","2026-04-18","4","7","9","0.10","0.17","0.22","Very Low","Very Low","Very Low",,,,,,
"KS","2026-04-25","1","8","17","0.03","0.27","0.58","Very Low","Very Low","Very Low",,,,,,
"WI","2026-04-25","15","24","68","0.25","0.41","1.15","Very Low","Very Low","Low",,,,,,
"HI","2026-04-25","3","16","10","0.22","1.15","0.72","Very Low","Low","Low",,,,,,
"KY","2026-04-25","28","24","53","0.62","0.53","1.18","Very Low","Very Low","Low",,,,,,
"MD","2026-04-25","20","11","15","0.33","0.18","0.24","Very Low","Very Low","Very Low",,,,,,
"NE","2026-04-25","7","11","37","0.35","0.56","1.88","Very Low","Very Low","Low",,,,,,
"WA","2026-04-25","21","39","28","0.27","0.50","0.36","Very Low","Very Low","Very Low",,,,,,
"IL","2026-04-25","67","76","99","0.53","0.61","0.79","Very Low","Very Low","Low",,,,,,
"SC","2026-04-25","38","13","25","0.71","0.24","0.47","Very Low","Very Low","Very Low",,,,,,
"AS","2026-04-25",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"IN","2026-04-25","23","19","65","0.34","0.28","0.95","Very Low","Very Low","Low",,,,,,
"ND","2026-04-25","3","3","18","0.39","0.39","2.32","Very Low","Very Low","Low",,,,,,
"OR","2026-04-25","5","10","25","0.12","0.24","0.59","Very Low","Very Low","Low",,,,,,
"PA","2026-04-25","97","191","106","0.75","1.47","0.82","Very Low","Low","Low",,,,,,
"MP","2026-04-25",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"AZ","2026-04-25","25","69","50","0.34","0.93","0.67","Very Low","Very Low","Low",,,,,,
"WY","2026-04-25","2","0","4","0.34","0.00","0.69","Very Low","Very Low","Very Low",,,,,,
"VT","2026-04-18","1","3","14","0.15","0.46","2.16","Very Low","Very Low","Low",,,,,,
"HI","2026-04-18","1","4","1","0.07","0.29","0.07","Very Low","Very Low","Very Low",,,,,,
"KY","2026-04-18","12","20","22","0.27","0.44","0.49","Very Low","Very Low","Very Low",,,,,,
"MD","2026-04-18","21","5","10","0.34","0.08","0.16","Very Low","Very Low","Very Low",,,,,,
"NE","2026-04-18","2","8","29","0.10","0.41","1.47","Very Low","Very Low","Low",,,,,,
"WA","2026-04-18","33","40","40","0.43","0.52","0.52","Very Low","Very Low","Very Low",,,,,,
"IL","2026-04-18","47","42","87","0.38","0.34","0.69","Very Low","Very Low","Very Low",,,,,,
"SC","2026-04-18","16","3","13","0.30","0.06","0.24","Very Low","Very Low","Very Low",,,,,,
"MP","2026-04-18",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"AZ","2026-04-18","25","61","37","0.34","0.82","0.50","Very Low","Very Low","Very Low",,,,,,
"WY","2026-04-18","13","6","20","2.24","1.03","3.44","Very Low","Very Low","Moderate",,,,,,
"AS","2026-04-18",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"IN","2026-04-18","38","37","62","0.55","0.54","0.90","Very Low","Very Low","Low",,,,,,
"ND","2026-04-18","12","10","15","1.54","1.29","1.93","Very Low","Very Low","Low",,,,,,
"OR","2026-04-18","3","9","27","0.07","0.21","0.64","Very Low","Very Low","Low",,,,,,
"PA","2026-04-18","160","182","198","1.23","1.40","1.53","Very Low","Very Low","Low",,,,,,
"CT","2026-04-25","17","18","24","0.47","0.50","0.66","Very Low","Very Low","Very Low",,,,,,
"GU","2026-04-25",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"ME","2026-04-25","2","10","16","0.14","0.72","1.15","Very Low","Very Low","Low",,,,,,
"TX","2026-04-25","100","119","160","0.33","0.39","0.53","Very Low","Very Low","Very Low",,,,,,
"CA","2026-04-25","141","225","158","0.36","0.58","0.41","Very Low","Very Low","Very Low",,,,,,
"GA","2026-04-25","64","28","40","0.58","0.26","0.36","Very Low","Very Low","Very Low",,,,,,
"NV","2026-04-25","3","30","15","0.09","0.94","0.47","Very Low","Very Low","Very Low",,,,,,
"NY","2026-04-25","150","66","177","0.77","0.34","0.91","Very Low","Very Low","Very Low",,,,,,
"MI","2026-04-25","21","26","41","0.21","0.26","0.41","Very Low","Very Low","Very Low",,,,,,
"VI","2026-04-25","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low",,,,,,
"LA","2026-04-25","34","35","16","0.75","0.77","0.35","Very Low","Very Low","Very Low",,,,,,
"MS","2026-04-25","10","14","16","0.34","0.48","0.55","Very Low","Very Low","Very Low",,,,,,
"NJ","2026-04-25","68","43","57","0.73","0.46","0.61","Very Low","Very Low","Very Low",,,,,,
"PR","2026-04-25","8","74","26","0.24","2.25","0.79","Very Low","Very Low","Very Low",,,,,,
"AL","2026-04-25","70","28","8","1.37","0.55","0.16","Very Low","Very Low","Very Low",,,,,,
"TN","2026-04-25","38","37","54","0.53","0.52","0.76","Very Low","Very Low","Very Low",,,,,,
"CO","2026-05-02","16","28","42","0.27","0.48","0.72","Very Low","Very Low","Very Low",,,,,,
"NH","2026-05-02","7","1","16","0.50","0.07","1.14","Very Low","Very Low","Low",,,,,,
"RI","2026-05-02","5","4","7","0.46","0.37","0.64","Very Low","Very Low","Very Low",,,,,,
"NM","2026-05-02","3","12","16","0.14","0.57","0.76","Very Low","Very Low","Very Low",,,,,,
"USA","2026-05-02","1,539","1,573","1,968","0.46","0.47","0.58","Very Low","Very Low","Very Low",,,,,,
"FL","2026-05-02","136","156","155","0.60","0.69","0.69","Very Low","Very Low","Very Low",,,,,,
"WV","2026-05-02","12","8","33","0.68","0.45","1.86","Very Low","Very Low","Moderate",,,,,,
"MN","2026-05-02","24","34","56","0.42","0.59","0.98","Very Low","Very Low","Low",,,,,,
"MT","2026-05-02","10","0","23","0.89","0.00","2.04","Very Low","Very Low","Low",,,,,,
"AR","2026-05-02","7","6","14","0.23","0.20","0.46","Very Low","Very Low","Very Low",,,,,,
"UT","2026-05-02","4","10","13","0.12","0.29","0.38","Very Low","Very Low","Very Low",,,,,,
"ID","2026-05-02","8","7","6","0.41","0.36","0.31","Very Low","Very Low","Very Low",,,,,,
"MO","2026-05-02","22","8","28","0.36","0.13","0.45","Very Low","Very Low","Very Low",,,,,,
"OH","2026-05-02","44","27","109","0.37","0.23","0.93","Very Low","Very Low","Low",,,,,,
"OK","2026-05-02","6","7","10","0.15","0.17","0.25","Very Low","Very Low","Very Low",,,,,,
"MP","2026-05-02",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable",,,,,,
"CA","2026-05-02","161","208","108","0.41","0.54","0.28","Very Low","Very Low","Very Low",,,,,,
"GA","2026-05-02","39","19","29","0.36","0.17","0.26","Very Low","Very Low","Very Low",,,,,,
"NV","2026-05-02","7","37","17","0.22","1.16","0.53","Very Low","Low","Very Low",,,,,,
"NY","2026-05-02","146","69","111","0.75","0.35","0.57","Very Low","Very Low","Very Low",,,,,,
"MI","2026-05-02","29","26","86","0.29","0.26","0.86","Very Low","Very Low","Low",,,,,,
"VI","2026-05-02","0","0","0","0.00","0.00","0.00","Very Low","Very Low","Very Low",,,,,,
"LA","2026-05-02","23","23","16","0.50","0.50","0.35","Very Low","Very Low","Very Low",,,,,,
"MS","2026-05-02","12","25","10","0.41","0.85","0.34","Very Low","Very Low","Very Low",,,,,,
"NJ","2026-05-02","67","40","55","0.72","0.43","0.59","Very Low","Very Low","Very Low",,,,,,
"PR","2026-05-02","35","106","24","1.07","3.23","0.73","Very Low","Low","Very Low",,,,,,
"AL","2026-05-02","44","20","10","0.86","0.39","0.20","Very Low","Very Low","Very Low",,,,,,
"TN","2026-05-02","46","33","50","0.65","0.46","0.70","Very Low","Very Low","Very Low",,,,,,
"CO","2026-04-25","18","38","63","0.31","0.65","1.08","Very Low","Very Low","Low",,,,,,
"NH","2026-04-25","22","3","22","1.57","0.21","1.57","Very Low","Very Low","Low",,,,,,
"RI","2026-04-25","7","4","4","0.64","0.37","0.37","Very Low","Very Low","Very Low",,,,,,
"NM","2026-04-25","6","7","18","0.29","0.33","0.86","Very Low","Very Low","Very Low",,,,,,
"USA","2026-04-25","1,629","1,711","2,318","0.48","0.51","0.69","Very Low","Very Low","Very Low",,,,,,
"FL","2026-04-25","119","173","167","0.53","0.77","0.74","Very Low","Very Low","Very Low",,,,,,
"WV","2026-04-25","14","16","51","0.79","0.90","2.88","Very Low","Very Low","High",,,,,,
"MN","2026-04-25","35","21","73","0.61","0.37","1.27","Very Low","Very Low","Low",,,,,,
"MT","2026-04-25","0","3","20","0.00","0.27","1.77","Very Low","Very Low","Low",,,,,,
"AR","2026-04-25","14","2","8","0.46","0.07","0.26","Very Low","Very Low","Very Low",,,,,,
"UT","2026-04-25","4","13","14","0.12","0.38","0.41","Very Low","Very Low","Very Low",,,,,,
"VT","2026-04-25","1","1","8","0.15","0.15","1.24","Very Low","Very Low","Low",,,,,,
"ID","2026-04-25","3","7","16","0.15","0.36","0.82","Very Low","Very Low","Low",,,,,,
"MO","2026-04-25","25","16","34","0.40","0.26","0.55","Very Low","Very Low","Very Low",,,,,,
"OH","2026-04-25","44","35","118","0.37","0.30","1.00","Very Low","Very Low","Low",,,,,,
"OK","2026-04-25","8","7","14","0.20","0.17","0.35","Very Low","Very Low","Very Low",,,,,,
"DC","2026-04-25","2","1","0","0.30","0.15","0.00","Very Low","Very Low","Very Low",,,,,,
"IA","2026-04-25","14","16","38","0.44","0.50","1.19","Very Low","Very Low","Low",,,,,,
"DE","2026-04-25","5","4","5","0.49","0.39","0.49","Very Low","Very Low","Very Low",,,,,,
"VA","2026-04-25","54","18","46","0.63","0.21","0.53","Very Low","Very Low","Very Low",,,,,,
"AK","2026-04-25","3","5","5","0.42","0.70","0.70","Very Low","Very Low","Low",,,,,,
"MA","2026-04-25","33","27","69","0.47","0.39","0.99","Very Low","Very Low","Low",,,,,,
"NC","2026-04-25","116","19","80","1.08","0.18","0.75","Very Low","Very Low","Very Low",,,,,,
"SD","2026-04-25","1","8","17","0.11","0.87","1.86","Very Low","Very Low","Low",,,,,,
"LA","2026-04-18","19","20","30","0.42","0.44","0.66","Very Low","Very Low","Very Low",,,,,,
"CO","2026-04-18","6","19","34","0.10","0.33","0.58","Very Low","Very Low","Very Low",,,,,,
"NH","2026-04-18","10","9","18","0.71","0.64","1.28","Very Low","Very Low","Low",,,,,,
"RI","2026-04-18","13","10","16","1.19","0.92","1.46","Very Low","Very Low","Low",,,,,,
"NM","2026-04-18","3","6","24","0.14","0.29","1.14","Very Low","Very Low","Very Low",,,,,,
"USA","2026-04-18","1,585","1,662","2,207","0.47","0.49","0.65","Very Low","Very Low","Very Low",,,,,,
"KS","2026-04-18","11","7","16","0.38","0.24","0.55","Very Low","Very Low","Very Low",,,,,,
"TN","2026-04-18","78","47","25","1.10","0.66","0.35","Very Low","Very Low","Very Low",,,,,,
"WI","2026-04-18","27","32","88","0.46","0.54","1.49","Very Low","Very Low","Low",,,,,,
"ME","2026-04-18","1","3","7","0.07","0.22","0.50","Very Low","Very Low","Very Low",,,,,,
"TX","2026-04-18","82","110","74","0.27","0.36","0.24","Very Low","Very Low","Very Low",,,,,,
